"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9"
"chr5q23","http://www.broadinstitute.org/gsea/msigdb/cards/chr5q23",30010,9,9,84,0,0,1,1,"","","","","","","","",""
"chr16q24","http://www.broadinstitute.org/gsea/msigdb/cards/chr16q24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr8q24","http://www.broadinstitute.org/gsea/msigdb/cards/chr8q24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr13q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr13q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7p21","http://www.broadinstitute.org/gsea/msigdb/cards/chr7p21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10q23","http://www.broadinstitute.org/gsea/msigdb/cards/chr10q23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr13q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr13q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr10q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr1p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxp21","http://www.broadinstitute.org/gsea/msigdb/cards/chrxp21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr6q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2p22","http://www.broadinstitute.org/gsea/msigdb/cards/chr2p22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr18q23","http://www.broadinstitute.org/gsea/msigdb/cards/chr18q23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr8p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr8p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr1p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr9p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr20p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr20p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr7p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4p16","http://www.broadinstitute.org/gsea/msigdb/cards/chr4p16",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr8q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr8q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr14q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr14q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chryp11","http://www.broadinstitute.org/gsea/msigdb/cards/chryp11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10q25","http://www.broadinstitute.org/gsea/msigdb/cards/chr10q25",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11q","http://www.broadinstitute.org/gsea/msigdb/cards/chr11q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4p14","http://www.broadinstitute.org/gsea/msigdb/cards/chr4p14",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr15q26","http://www.broadinstitute.org/gsea/msigdb/cards/chr15q26",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr12q15","http://www.broadinstitute.org/gsea/msigdb/cards/chr12q15",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr4p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr9q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9q33","http://www.broadinstitute.org/gsea/msigdb/cards/chr9q33",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr18p","http://www.broadinstitute.org/gsea/msigdb/cards/chr18p",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3q28","http://www.broadinstitute.org/gsea/msigdb/cards/chr3q28",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr12q14","http://www.broadinstitute.org/gsea/msigdb/cards/chr12q14",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q36","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q36",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr9q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3p22","http://www.broadinstitute.org/gsea/msigdb/cards/chr3p22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxq","http://www.broadinstitute.org/gsea/msigdb/cards/chrxq",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr6p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr12q24","http://www.broadinstitute.org/gsea/msigdb/cards/chr12q24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q32","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q32",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4q35","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q35",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3p14","http://www.broadinstitute.org/gsea/msigdb/cards/chr3p14",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr22q","http://www.broadinstitute.org/gsea/msigdb/cards/chr22q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr15q24","http://www.broadinstitute.org/gsea/msigdb/cards/chr15q24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2p","http://www.broadinstitute.org/gsea/msigdb/cards/chr2p",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr13q31","http://www.broadinstitute.org/gsea/msigdb/cards/chr13q31",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr19p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr19p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr12q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr12q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7p","http://www.broadinstitute.org/gsea/msigdb/cards/chr7p",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr11q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxq28","http://www.broadinstitute.org/gsea/msigdb/cards/chrxq28",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr16q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr16q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11q24","http://www.broadinstitute.org/gsea/msigdb/cards/chr11q24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr5q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr10p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr5q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr14q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr14q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxq12","http://www.broadinstitute.org/gsea/msigdb/cards/chrxq12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1p35","http://www.broadinstitute.org/gsea/msigdb/cards/chr1p35",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr3p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10p15","http://www.broadinstitute.org/gsea/msigdb/cards/chr10p15",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr18q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr18q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1p33","http://www.broadinstitute.org/gsea/msigdb/cards/chr1p33",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr11q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr17q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr17q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1p31","http://www.broadinstitute.org/gsea/msigdb/cards/chr1p31",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr10p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr14q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr14q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q24","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr22q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr22q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr15q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr15q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1q43","http://www.broadinstitute.org/gsea/msigdb/cards/chr1q43",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr19p","http://www.broadinstitute.org/gsea/msigdb/cards/chr19p",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3q24","http://www.broadinstitute.org/gsea/msigdb/cards/chr3q24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr22q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr22q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr7p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr16q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr16q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1p22","http://www.broadinstitute.org/gsea/msigdb/cards/chr1p22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr12p","http://www.broadinstitute.org/gsea/msigdb/cards/chr12p",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9p21","http://www.broadinstitute.org/gsea/msigdb/cards/chr9p21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4q33","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q33",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr2p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q34","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q34",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr17q23","http://www.broadinstitute.org/gsea/msigdb/cards/chr17q23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr14q23","http://www.broadinstitute.org/gsea/msigdb/cards/chr14q23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5q33","http://www.broadinstitute.org/gsea/msigdb/cards/chr5q33",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6q27","http://www.broadinstitute.org/gsea/msigdb/cards/chr6q27",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3q26","http://www.broadinstitute.org/gsea/msigdb/cards/chr3q26",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr10q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr5p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr1q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4q24","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7q31","http://www.broadinstitute.org/gsea/msigdb/cards/chr7q31",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6p21","http://www.broadinstitute.org/gsea/msigdb/cards/chr6p21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr17q","http://www.broadinstitute.org/gsea/msigdb/cards/chr17q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5q15","http://www.broadinstitute.org/gsea/msigdb/cards/chr5q15",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1q23","http://www.broadinstitute.org/gsea/msigdb/cards/chr1q23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6q23","http://www.broadinstitute.org/gsea/msigdb/cards/chr6q23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11q14","http://www.broadinstitute.org/gsea/msigdb/cards/chr11q14",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5p14","http://www.broadinstitute.org/gsea/msigdb/cards/chr5p14",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5q31","http://www.broadinstitute.org/gsea/msigdb/cards/chr5q31",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2p24","http://www.broadinstitute.org/gsea/msigdb/cards/chr2p24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr9p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4q26","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q26",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1q25","http://www.broadinstitute.org/gsea/msigdb/cards/chr1q25",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxq11","http://www.broadinstitute.org/gsea/msigdb/cards/chrxq11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5q14","http://www.broadinstitute.org/gsea/msigdb/cards/chr5q14",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4q28","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q28",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1q42","http://www.broadinstitute.org/gsea/msigdb/cards/chr1q42",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6p25","http://www.broadinstitute.org/gsea/msigdb/cards/chr6p25",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr13q34","http://www.broadinstitute.org/gsea/msigdb/cards/chr13q34",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr8q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr8q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr7q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6p23","http://www.broadinstitute.org/gsea/msigdb/cards/chr6p23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr8p21","http://www.broadinstitute.org/gsea/msigdb/cards/chr8p21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5q35","http://www.broadinstitute.org/gsea/msigdb/cards/chr5q35",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr13q32","http://www.broadinstitute.org/gsea/msigdb/cards/chr13q32",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr12q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr12q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3p24","http://www.broadinstitute.org/gsea/msigdb/cards/chr3p24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7q33","http://www.broadinstitute.org/gsea/msigdb/cards/chr7q33",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr12p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr12p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9p23","http://www.broadinstitute.org/gsea/msigdb/cards/chr9p23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7p14","http://www.broadinstitute.org/gsea/msigdb/cards/chr7p14",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr6q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chryq11","http://www.broadinstitute.org/gsea/msigdb/cards/chryq11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr15q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr15q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr3q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6q15","http://www.broadinstitute.org/gsea/msigdb/cards/chr6q15",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4q31","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q31",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr3q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr13q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr13q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr15q15","http://www.broadinstitute.org/gsea/msigdb/cards/chr15q15",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3p26","http://www.broadinstitute.org/gsea/msigdb/cards/chr3p26",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr17q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr17q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr11p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr7p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6q","http://www.broadinstitute.org/gsea/msigdb/cards/chr6q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxq21","http://www.broadinstitute.org/gsea/msigdb/cards/chrxq21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr19q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr19q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr16p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr16p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1q32","http://www.broadinstitute.org/gsea/msigdb/cards/chr1q32",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr8p23","http://www.broadinstitute.org/gsea/msigdb/cards/chr8p23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxq23","http://www.broadinstitute.org/gsea/msigdb/cards/chrxq23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2p15","http://www.broadinstitute.org/gsea/msigdb/cards/chr2p15",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr18q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr18q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr17p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr17p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr14q","http://www.broadinstitute.org/gsea/msigdb/cards/chr14q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11p14","http://www.broadinstitute.org/gsea/msigdb/cards/chr11p14",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1q","http://www.broadinstitute.org/gsea/msigdb/cards/chr1q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9q32","http://www.broadinstitute.org/gsea/msigdb/cards/chr9q32",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr20q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr20q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr14q32","http://www.broadinstitute.org/gsea/msigdb/cards/chr14q32",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7p22","http://www.broadinstitute.org/gsea/msigdb/cards/chr7p22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5q","http://www.broadinstitute.org/gsea/msigdb/cards/chr5q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr21q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr21q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr2p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
