"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46"
"BIOCARTA_PROTEASOME_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_PROTEASOME_PATHWAY",1279,518,46,28,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_AKAPCENTROSOME_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_AKAPCENTROSOME_PATHWAY",1279,518,46,15,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_PTEN_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_PTEN_PATHWAY",1279,518,46,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_RAB_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_RAB_PATHWAY",1279,518,46,12,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_RAC1_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_RAC1_PATHWAY",1279,518,46,23,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_RAS_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_RAS_PATHWAY",1279,518,46,23,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_NKCELLS_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_NKCELLS_PATHWAY",1279,518,46,20,2,0.1,0.15977764240101,1,"KLRC3","KLRC2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_RB_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_RB_PATHWAY",1279,518,46,13,1,0.0769230769230769,0.380261887542666,1,"CDK4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CHREBP2_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CHREBP2_PATHWAY",1279,518,46,42,1,0.0238095238095238,0.790717588765681,1,"PPP2R2C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_BAD_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_BAD_PATHWAY",1279,518,46,26,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CK1_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CK1_PATHWAY",1279,518,46,17,2,0.117647058823529,0.12227762802065,1,"PLCB1","GRM1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_EIF2_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_EIF2_PATHWAY",1279,518,46,11,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_EIF4_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_EIF4_PATHWAY",1279,518,46,24,1,0.0416666666666667,0.588205870499495,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_STEM_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_STEM_PATHWAY",1279,518,46,15,1,0.0666666666666667,0.424497108265242,1,"IL8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_P27_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_P27_PATHWAY",1279,518,46,13,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_PGC1A_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_PGC1A_PATHWAY",1279,518,46,26,2,0.0769230769230769,0.239499239044503,1,"CAMK4","CAMK2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_PML_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_PML_PATHWAY",1279,518,46,17,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_DREAM_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_DREAM_PATHWAY",1279,518,46,14,1,0.0714285714285714,0.4027800180111,1,"KCNIP3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_LEPTIN_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_LEPTIN_PATHWAY",1279,518,46,11,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_RHO_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_RHO_PATHWAY",1279,518,46,32,1,0.03125,0.694809799631291,1,"OPHN1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_AKAP13_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_AKAP13_PATHWAY",1279,518,46,12,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ATRBRCA_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ATRBRCA_PATHWAY",1279,518,46,21,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CARDIACEGF_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CARDIACEGF_PATHWAY",1279,518,46,18,2,0.111111111111111,0.134521091380679,1,"PRKCB","ADAM12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_HER2_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_HER2_PATHWAY",1279,518,46,22,1,0.0454545454545455,0.556314174268679,1,"ERBB4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ERK5_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ERK5_PATHWAY",1279,518,46,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_MAL_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_MAL_PATHWAY",1279,518,46,19,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_MEF2D_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_MEF2D_PATHWAY",1279,518,46,23,1,0.0434782608695652,0.572550887063938,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_MITOCHONDRIA_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_MITOCHONDRIA_PATHWAY",1279,518,46,21,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ACH_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ACH_PATHWAY",1279,518,46,16,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_PARKIN_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_PARKIN_PATHWAY",1279,518,46,13,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CDC42RAC_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CDC42RAC_PATHWAY",1279,518,46,16,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_RANMS_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_RANMS_PATHWAY",1279,518,46,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_BARR_MAPK_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_BARR_MAPK_PATHWAY",1279,518,46,12,1,0.0833333333333333,0.356913850545911,1,"PLCB1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TOB1_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TOB1_PATHWAY",1279,518,46,21,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_BARRESTIN_SRC_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_BARRESTIN_SRC_PATHWAY",1279,518,46,15,1,0.0666666666666667,0.424497108265242,1,"PLCB1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_NKT_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_NKT_PATHWAY",1279,518,46,29,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_IL1R_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_IL1R_PATHWAY",1279,518,46,33,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_MET_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_MET_PATHWAY",1279,518,46,37,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_GPCR_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_GPCR_PATHWAY",1279,518,46,37,1,0.027027027027027,0.747175222838898,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_IGF1MTOR_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_IGF1MTOR_PATHWAY",1279,518,46,20,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_SODD_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_SODD_PATHWAY",1279,518,46,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_SHH_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_SHH_PATHWAY",1279,518,46,16,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_PTC1_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_PTC1_PATHWAY",1279,518,46,11,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_SPRY_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_SPRY_PATHWAY",1279,518,46,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_BARRESTIN_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_BARRESTIN_PATHWAY",1279,518,46,10,1,0.1,0.307607478058048,1,"PLCB1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_STATHMIN_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_STATHMIN_PATHWAY",1279,518,46,19,2,0.105263157894737,0.147032417982573,1,"CAMK4","CAMK2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_HSP27_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_HSP27_PATHWAY",1279,518,46,15,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TCR_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TCR_PATHWAY",1279,518,46,49,1,0.0204081632653061,0.839586327439112,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TCYTOTOXIC_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TCYTOTOXIC_PATHWAY",1279,518,46,14,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_THELPER_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_THELPER_PATHWAY",1279,518,46,14,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TALL1_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TALL1_PATHWAY",1279,518,46,15,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TEL_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TEL_PATHWAY",1279,518,46,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TGFB_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TGFB_PATHWAY",1279,518,46,19,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TH1TH2_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TH1TH2_PATHWAY",1279,518,46,19,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_41BB_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_41BB_PATHWAY",1279,518,46,17,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_KREB_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_KREB_PATHWAY",1279,518,46,8,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CTLA4_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CTLA4_PATHWAY",1279,518,46,21,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_LONGEVITY_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_LONGEVITY_PATHWAY",1279,518,46,15,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_SARS_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_SARS_PATHWAY",1279,518,46,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_PAR1_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_PAR1_PATHWAY",1279,518,46,37,2,0.0540540540540541,0.387686692573071,1,"PLCB1","PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_STRESS_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_STRESS_PATHWAY",1279,518,46,25,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TNFR1_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TNFR1_PATHWAY",1279,518,46,29,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TNFR2_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TNFR2_PATHWAY",1279,518,46,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TOLL_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TOLL_PATHWAY",1279,518,46,37,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TPO_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TPO_PATHWAY",1279,518,46,24,1,0.0416666666666667,0.588205870499495,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CREB_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CREB_PATHWAY",1279,518,46,27,2,0.0740740740740741,0.253087310187778,1,"PRKCB","CAMK2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CARM1_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CARM1_PATHWAY",1279,518,46,13,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TFF_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TFF_PATHWAY",1279,518,46,21,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TRKA_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TRKA_PATHWAY",1279,518,46,12,1,0.0833333333333333,0.356913850545911,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ARF_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ARF_PATHWAY",1279,518,46,17,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_UCALPAIN_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_UCALPAIN_PATHWAY",1279,518,46,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_VEGF_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_VEGF_PATHWAY",1279,518,46,29,2,0.0689655172413793,0.280324541574659,1,"PRKCB","VEGFA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_VITCB_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_VITCB_PATHWAY",1279,518,46,11,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_WNT_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_WNT_PATHWAY",1279,518,46,26,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ACTINY_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ACTINY_PATHWAY",1279,518,46,20,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
